Unnamed: 0,projectID,condition,reference_condition,title,geo_accession,status,submission_date,last_update_date
GSM210235,102625,110spc4_nodules_soybean_31,110spc4_aerobic _PSY,110spc4 nodules soybean 31 Days 3,GSM210235,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210238,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 1,GSM210238,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210239,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 2,GSM210239,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210240,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 3,GSM210240,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210241,102625,110spc4_nodules_soybean_13,110spc4_aerobic _PSY,110spc4 nodules soybean 13 Days 4,GSM210241,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210243,102625,110spc4_nodules_soybean_21,110spc4_aerobic _PSY,110spc4 nodules soybean 21 Days 2,GSM210243,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210244,102625,110spc4_nodules_soybean_21,110spc4_aerobic _PSY,110spc4 nodules soybean 21 Days 3,GSM210244,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210246,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 1,GSM210246,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210247,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 2,GSM210247,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210248,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 3,GSM210248,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210249,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 4,GSM210249,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210250,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 5,GSM210250,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210251,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 6,GSM210251,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210252,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 7,GSM210252,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210253,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 8,GSM210253,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210254,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 9,GSM210254,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210255,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 10,GSM210255,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210256,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 11,GSM210256,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210257,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 12,GSM210257,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210258,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 13,GSM210258,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210259,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 14,GSM210259,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210260,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 15,GSM210260,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210261,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 16,GSM210261,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210262,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 17,GSM210262,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210263,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 18,GSM210263,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210264,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 19,GSM210264,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210265,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 20,GSM210265,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210266,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 21,GSM210266,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210267,102625,110spc4_micro_PSY,110spc4_aerobic _PSY,110spc4 micro PSY 22,GSM210267,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210269,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 1,GSM210269,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210270,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 2,GSM210270,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210271,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 3,GSM210271,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210272,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 4,GSM210272,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210273,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 5,GSM210273,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210274,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 6,GSM210274,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210275,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 7,GSM210275,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210276,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 8,GSM210276,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210277,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 9,GSM210277,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210278,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 10,GSM210278,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210279,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 11,GSM210279,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
GSM210280,102625,110spc4_aerobic _PSY,110spc4_aerobic _PSY,110spc4 aerobic PSY 12,GSM210280,Public on Jul 14 2007,Jul 13 2007,Aug 14 2011
